Node,Erdos_Number
1489623725351878671,0
1497124621572734977,1
1504072538313342978,1
1486461474692292609,1
1511407086999121926,1
1498979201436819458,1
1491781549603397635,1
1511141606610583553,1
1487504591486951432,1
1491234182588211202,1
1486247571995738115,1
1514025590646583302,1
1494635077401149442,1
1491585181081382914,1
1494427704296415237,1
1485330253199417346,1
1506650740474920972,1
1479387355018522627,1
1490774872494071810,1
1507890169977970694,1
1514257202709676034,1
1482432412474912768,1
1488946590236741633,1
1501213655958003715,1
1486077694601269254,1
1497146872909242369,1
1513658399627563017,1
1486649868634533888,1
1510986820196130818,1
1503109935793590272,1
1502336090715348996,1
1501661631188815881,1
1503377986694828032,1
1496900546741129220,1
1507844875764514824,1
1514564527123312643,1
1506420489987756040,1
1508885462944989194,1
1486647434520502275,1
1478071426573869061,1
1512258962036604928,1
1477968016432414723,1
1488135032355049472,1
1515414779103432708,1
1495511119322095623,1
1510849652668653571,1
1504897949096202243,1
1508440054850592777,1
1495741366038667265,1
1510692379585560585,1
1483447064193384461,1
1513668281739235333,1
1503898892982796296,1
1512004783749615621,1
1499079500851781633,1
1483773742568419331,1
1481396864729718788,1
1499125060380114956,1
1488549236589355013,1
1497326830608605186,1
1495982951443619840,1
1505368538323865604,1
1483110651270733832,1
1503481112475181057,1
1487953812908302337,1
1491366314618900484,1
1503830952384118788,1
1515108060037107718,1
1487791548276387841,1
1509211625961795584,1
1509213924457123845,1
1481219494483738625,1
1501234094012829702,1
1492304981373956098,1
1515008322885328918,1
1494305674494365703,1
1499761614723166209,1
1497657726243151877,1
1503581779130728453,1
1507118969181769728,1
1498036493893394434,1
1496960690556444672,1
1479143260069240835,1
1483605173369024518,1
1494548506203377668,1
1480738749789179904,1
1514883484170563585,1
1489602673318023170,1
1493038293566562306,1
1495191490582257669,1
1502678328117014534,1
1489969592453799940,1
1510286738429730825,1
1483435275858628609,1
1485666277117079556,1
1493334258227765248,1
1513648102624104453,1
1511984678315646976,1
1513815464304070665,1
1502134735174258689,1
1497013502472560642,1
1504174463008526346,1
1511136564952375314,1
1482828778200084486,1
1508307950099738636,1
1495529978405998603,1
1495933907316969473,1
1489811068377518080,1
1511652485974351876,1
1511765715333828615,1
1478136611141558276,1
1500823866276462594,1
1499278444026286085,1
1508866637763690501,1
1478705384697249792,1
1507081073074790400,1
1490007364719755272,1
1504148031465304070,1
1494604881767899144,1
